Handle\TaskId     ,A,B,C,D,
AndrewB2011       , ,+, ,+,
maximus2606       , ,+, ,+,
ukhalikshina      , ,+, ,+,
KhlkShiNaA.       , ,+, ,+,
Mara2013          ,+, , ,+,
art239pro         ,+, ,+, ,
ChAr09            ,+, ,+, ,
Fedorov_Aleksey   ,+, ,+, ,
IMoroz            ,+, ,+, ,
Lantern21         ,+, ,+, ,
RobotC            ,+, ,+, ,
Sansiveriy        ,+, ,+, ,
sergeydenisov     ,+, ,+, ,
SevaKrasnov       ,+, ,+, ,
V.Prilepin        ,+, ,+, ,
denis.kariev      ,+, ,+, ,
Makhrov_Aleksander,+, ,+, ,
