Handle\TaskId     ,A,B,C,D,
AndrewB2011       , , ,+,+,
maximus2606       , , ,+,+,
ukhalikshina      , , ,+,+,
Mara2013          , , ,+,+,
art239pro         ,+, , ,+,
ChAr09            ,+, , ,+,
Fedorov_Aleksey   ,+, , ,+,
IMoroz            ,+, , ,+,
KhlkShiNaA.       ,+, , ,+,
Lantern21         ,+, , ,+,
RobotC            ,+, , ,+,
Sansiveriy        ,+, , ,+,
sergeydenisov     ,+, , ,+,
SevaKrasnov       ,+, , ,+,
V.Prilepin        ,+, , ,+,
denis.kariev      ,+, , ,+,
Makhrov_Aleksander,+, , ,+,
