Handle\TaskId     ,A,B,C,D,
art239pro         ,+,+, , ,
maximus2606       , ,+,+, ,
ukhalikshina      ,+,+, , ,
Makhrov_Aleksander, ,+,+, ,
denis.kariev      , ,+,+, ,

RobotC            , , , , ,
Mara2013          , , , , ,
AndrewB2011       , , , , ,
ChAr09            , , , , ,
Fedorov_Aleksey   , , , , ,
IMoroz            , , , , ,
KhlkShiNaA.       , , , , ,
Lantern21         , , , , ,
Sansiveriy        , , , , ,
sergeydenisov     , , , , ,
SevaKrasnov       , , , , ,
V.Prilepin        , , , , ,


