Handle\TaskId     ,A,B,C,D,
AndrewB2011       , ,+,+, ,
denis.kariev      , ,+,+, ,
Makhrov_Aleksander, ,+,+, ,
maximus2606       , ,+,+, ,
ukhalikshina      , ,+,+, ,
KhlkShiNaA.       , ,+,+, ,
art239pro         ,+,+, , ,
ChAr09            ,+,+, , ,
Fedorov_Aleksey   ,+,+, , ,
IMoroz            ,+,+, , ,
Lantern21         ,+,+, , ,
Mara2013          ,+,+, , ,
RobotC            ,+,+, , ,
Sansiveriy        ,+,+, , ,
sergeydenisov     ,+,+, , ,
SevaKrasnov       ,+,+, , ,
V.Prilepin        ,+,+, , ,
